dataset,run,setting,ai_kind,policy_kind,human_kind,n_test,group_source,ai_only_accuracy,ai_only_acc_gap,best_human_accuracy,final_accuracy,final_acc_gap,avg_subset_size,pct_human_used,spent_cost,budget,lambda_trace_len
cifar10h,0,a_placo_basicAI_unbiased,basic,placo,unbiased,600,proxy_class_bucket,0.5583333333333333,0.14999999999999997,0.925,0.8766666666666667,0.00666666666666671,4.28,73.16666666666667,12599.9778765787,12600.0,0
cifar10h,0,b_placo_basicAI_explicit,basic,placo,explicit_biased,600,proxy_class_bucket,0.5583333333333333,0.14999999999999997,0.8666666666666667,0.9233333333333333,0.07333333333333325,4.1883333333333335,100.0,12434.764092244544,12600.0,0
cifar10h,0,c_placo_basicAI_automation,basic,placo,automation_biased,600,proxy_class_bucket,0.5583333333333333,0.14999999999999997,0.6166666666666667,0.5866666666666667,0.12,1.2666666666666666,100.0,3733.123288785374,12600.0,0
cifar10h,0,d_placo_fairAI_unbiased,fair,placo,unbiased,600,proxy_class_bucket,0.5583333333333333,0.14999999999999997,0.925,0.8766666666666667,0.00666666666666671,4.28,73.16666666666667,12599.9778765787,12600.0,0
cifar10h,0,e_placo_fairAI_explicit,fair,placo,explicit_biased,600,proxy_class_bucket,0.5583333333333333,0.14999999999999997,0.8666666666666667,0.9233333333333333,0.07333333333333325,4.1883333333333335,100.0,12434.764092244544,12600.0,0
cifar10h,0,f_placo_fairAI_automation,fair,placo,automation_biased,600,proxy_class_bucket,0.5583333333333333,0.14999999999999997,0.6166666666666667,0.5866666666666667,0.12,1.2666666666666666,100.0,3733.123288785374,12600.0,0
cifar10h,0,g_FAIRPLACO_fairAI_unbiased,fair,fair_placo,unbiased,600,proxy_class_bucket,0.5583333333333333,0.14999999999999997,0.925,0.975,0.016666666666666607,3.0316666666666667,99.83333333333333,9025.718752147282,12600.0,9
cifar10h,0,h_FAIRPLACO_fairAI_explicit,fair,fair_placo,explicit_biased,600,proxy_class_bucket,0.5583333333333333,0.14999999999999997,0.8666666666666667,0.9033333333333333,0.053333333333333344,3.611666666666667,100.0,10677.837999145788,12600.0,9
cifar10h,0,i_FAIRPLACO_fairAI_automation,fair,fair_placo,automation_biased,600,proxy_class_bucket,0.5583333333333333,0.14999999999999997,0.6166666666666667,0.5716666666666667,0.13666666666666671,0.83,56.333333333333336,2429.4707792028557,12600.0,9
cifar10h,0,j_FAIRPLACO_basicAI_unbiased,basic,fair_placo,unbiased,600,proxy_class_bucket,0.5583333333333333,0.14999999999999997,0.925,0.975,0.016666666666666607,3.0316666666666667,99.83333333333333,9025.718752147282,12600.0,9
cifar10h,0,k_FAIRPLACO_basicAI_explicit,basic,fair_placo,explicit_biased,600,proxy_class_bucket,0.5583333333333333,0.14999999999999997,0.8666666666666667,0.9033333333333333,0.053333333333333344,3.611666666666667,100.0,10677.837999145788,12600.0,9
cifar10h,0,l_FAIRPLACO_basicAI_automation,basic,fair_placo,automation_biased,600,proxy_class_bucket,0.5583333333333333,0.14999999999999997,0.6166666666666667,0.5716666666666667,0.13666666666666671,0.83,56.333333333333336,2429.4707792028557,12600.0,9
