dataset,setting,ai_kind,policy_kind,human_kind,runs,ai_only_accuracy_mean,best_human_accuracy_mean,final_accuracy_mean,ai_only_acc_gap_mean,final_acc_gap_mean,avg_subset_size_mean,spent_cost_mean
cifar10h,a_placo_basicAI_unbiased,basic,placo,unbiased,1,0.5583333333333333,0.925,0.8766666666666667,0.14999999999999997,0.00666666666666671,4.28,12599.9778765787
cifar10h,b_placo_basicAI_explicit,basic,placo,explicit_biased,1,0.5583333333333333,0.8666666666666667,0.9233333333333333,0.14999999999999997,0.07333333333333325,4.1883333333333335,12434.764092244544
cifar10h,c_placo_basicAI_automation,basic,placo,automation_biased,1,0.5583333333333333,0.6166666666666667,0.5866666666666667,0.14999999999999997,0.12,1.2666666666666666,3733.123288785374
cifar10h,d_placo_fairAI_unbiased,fair,placo,unbiased,1,0.5583333333333333,0.925,0.8766666666666667,0.14999999999999997,0.00666666666666671,4.28,12599.9778765787
cifar10h,e_placo_fairAI_explicit,fair,placo,explicit_biased,1,0.5583333333333333,0.8666666666666667,0.9233333333333333,0.14999999999999997,0.07333333333333325,4.1883333333333335,12434.764092244544
cifar10h,f_placo_fairAI_automation,fair,placo,automation_biased,1,0.5583333333333333,0.6166666666666667,0.5866666666666667,0.14999999999999997,0.12,1.2666666666666666,3733.123288785374
cifar10h,g_FAIRPLACO_fairAI_unbiased,fair,fair_placo,unbiased,1,0.5583333333333333,0.925,0.975,0.14999999999999997,0.016666666666666607,3.0316666666666667,9025.718752147282
cifar10h,h_FAIRPLACO_fairAI_explicit,fair,fair_placo,explicit_biased,1,0.5583333333333333,0.8666666666666667,0.9033333333333333,0.14999999999999997,0.053333333333333344,3.611666666666667,10677.837999145788
cifar10h,i_FAIRPLACO_fairAI_automation,fair,fair_placo,automation_biased,1,0.5583333333333333,0.6166666666666667,0.5716666666666667,0.14999999999999997,0.13666666666666671,0.83,2429.4707792028557
cifar10h,j_FAIRPLACO_basicAI_unbiased,basic,fair_placo,unbiased,1,0.5583333333333333,0.925,0.975,0.14999999999999997,0.016666666666666607,3.0316666666666667,9025.718752147282
cifar10h,k_FAIRPLACO_basicAI_explicit,basic,fair_placo,explicit_biased,1,0.5583333333333333,0.8666666666666667,0.9033333333333333,0.14999999999999997,0.053333333333333344,3.611666666666667,10677.837999145788
cifar10h,l_FAIRPLACO_basicAI_automation,basic,fair_placo,automation_biased,1,0.5583333333333333,0.6166666666666667,0.5716666666666667,0.14999999999999997,0.13666666666666671,0.83,2429.4707792028557
