dataset,setting,ai_kind,policy_kind,human_kind,n_test,budget,spent_cost,avg_subset_size,pct_human_used,ai_only_accuracy,ai_only_dp_diff,ai_only_eo_diff,ai_only_eopp_diff,ai_only_te_diff,ai_only_subgroup_fairness,ai_only_individual_fairness,final_accuracy,final_demographic_parity_diff,final_equalized_odds_diff,final_equal_opportunity_diff,final_treatment_equality_diff,final_subgroup_fairness,final_individual_fairness,wall_seconds
acs_income,a_placo_basicAI_unbiased,basic,placo,unbiased,2400,21600.0,18105.671834775807,7.737083333333333,100.0,0.8004166666666667,0.138265053026456,0.0984682299546142,0.0984682299546142,0.4149633343820612,0.6244144074955841,0.8325833333333295,0.97375,0.0979954737450796,0.0135920953101361,0.0135920953101361,0.2198046500486951,0.1103145424836601,0.7029166666666616,115.27346515655518
acs_income,b_placo_basicAI_explicit,basic,placo,explicit_biased,2400,21600.0,18175.1309908651,7.822083333333333,100.0,0.8004166666666667,0.138265053026456,0.0984682299546142,0.0984682299546142,0.4149633343820612,0.6244144074955841,0.8325833333333295,0.90375,0.1085831530561026,0.1775813161875945,0.1775813161875945,0.154986327625782,0.4836891078270388,0.7331666666666601,121.52111601829527
acs_income,c_placo_basicAI_automation,basic,placo,automation_biased,2400,21600.0,17806.788868044863,7.705,100.0,0.8004166666666667,0.138265053026456,0.0984682299546142,0.0984682299546142,0.4149633343820612,0.6244144074955841,0.8325833333333295,0.80125,0.1378570443144426,0.0968560892586989,0.0968560892586989,0.4120558484704019,0.6266415789877889,0.8326666666666628,107.45411682128906
acs_income,d_placo_fairAI_unbiased,fair,placo,unbiased,2400,21600.0,18110.640439309293,7.74,100.0,0.8045833333333333,0.1016880993545243,0.0488653555219364,0.0488653555219364,0.0370688525012286,0.6004915137086245,0.835833333333329,0.97375,0.0940650876631667,0.0104670953101361,0.0104670953101361,0.496436886313891,0.1103145424836601,0.7014999999999946,122.67955207824708
acs_income,e_placo_fairAI_explicit,fair,placo,explicit_biased,2400,21600.0,18205.71673218482,7.860416666666667,100.0,0.8045833333333333,0.1016880993545243,0.0488653555219364,0.0488653555219364,0.0370688525012286,0.6004915137086245,0.835833333333329,0.9008333333333334,0.0767423292894484,0.1760684568835098,0.1760684568835098,0.9564377998875672,0.4825956166738289,0.709166666666662,125.24749398231506
acs_income,f_placo_fairAI_automation,fair,placo,automation_biased,2400,21600.0,17807.78032553148,7.705833333333333,100.0,0.8045833333333333,0.1016880993545243,0.0488653555219364,0.0488653555219364,0.0370688525012286,0.6004915137086245,0.835833333333329,0.805,0.1023646893409925,0.0503782148260212,0.0503782148260212,0.0430748765614404,0.6027186852008294,0.8359999999999956,117.08087396621704
acs_income,g_FAIRPLACO_fairAI_unbiased,fair,fair_placo,unbiased,2400,21600.0,18087.425183494513,7.727083333333334,99.91666666666669,0.8045833333333333,0.1016880993545243,0.0488653555219364,0.0488653555219364,0.0370688525012286,0.6004915137086245,0.835833333333329,0.97375,0.0940650876631667,0.0104670953101361,0.0104670953101361,0.496436886313891,0.1103145424836601,0.7014999999999946,121.35180497169496
acs_income,h_FAIRPLACO_fairAI_explicit,fair,fair_placo,explicit_biased,2400,21600.0,18173.73153880719,7.843333333333334,99.91666666666669,0.8045833333333333,0.1016880993545243,0.0488653555219364,0.0488653555219364,0.0370688525012286,0.6004915137086245,0.835833333333329,0.9008333333333334,0.0767423292894484,0.1760684568835098,0.1760684568835098,0.9564377998875672,0.4825956166738289,0.707916666666662,129.71322894096377
acs_income,i_FAIRPLACO_fairAI_automation,fair,fair_placo,automation_biased,2400,21600.0,18077.060553235224,7.84375,99.875,0.8045833333333333,0.1016880993545243,0.0488653555219364,0.0488653555219364,0.0370688525012286,0.6004915137086245,0.835833333333329,0.805,0.1023646893409925,0.0503782148260212,0.0503782148260212,0.0430748765614404,0.6027186852008294,0.8359999999999956,135.1669318675995
acs_income,j_FAIRPLACO_basicAI_unbiased,basic,fair_placo,unbiased,2400,21600.0,18073.551744120097,7.715833333333333,99.91666666666669,0.8004166666666667,0.138265053026456,0.0984682299546142,0.0984682299546142,0.4149633343820612,0.6244144074955841,0.8325833333333295,0.97375,0.0979954737450796,0.0135920953101361,0.0135920953101361,0.2198046500486951,0.1103145424836601,0.7029166666666616,109.59982013702393
acs_income,k_FAIRPLACO_basicAI_explicit,basic,fair_placo,explicit_biased,2400,21600.0,18154.75607555759,7.810833333333333,99.875,0.8004166666666667,0.138265053026456,0.0984682299546142,0.0984682299546142,0.4149633343820612,0.6244144074955841,0.8325833333333295,0.9033333333333332,0.1100757604665975,0.1838313161875945,0.1838313161875945,0.1601632158053158,0.4836891078270388,0.7327499999999935,105.13345193862916
acs_income,l_FAIRPLACO_basicAI_automation,basic,fair_placo,automation_biased,2400,21600.0,18085.22739512455,7.85,99.875,0.8004166666666667,0.138265053026456,0.0984682299546142,0.0984682299546142,0.4149633343820612,0.6244144074955841,0.8325833333333295,0.80125,0.1378570443144426,0.0968560892586989,0.0968560892586989,0.4120558484704019,0.6266415789877889,0.8326666666666628,113.12068462371826
adult,a_placo_basicAI_unbiased,basic,placo,unbiased,13567,122103.0,102418.19964461168,7.738999041792585,100.0,0.8651138792658657,0.1743677555779118,0.0870390231829056,0.0870390231829056,0.3823671700442761,0.484167339252085,0.924419547431259,0.9767818972506818,0.1894626136501003,0.0087692025589829,0.004618705827352,0.4023449807719207,0.0571186440677966,0.7981425517800507,751.6090168952942
adult,b_placo_basicAI_explicit,basic,placo,explicit_biased,13567,122103.0,102653.29858962956,7.787130537333235,100.0,0.8651138792658657,0.1743677555779118,0.0870390231829056,0.0870390231829056,0.3823671700442761,0.484167339252085,0.924419547431259,0.9530478366624898,0.180705179806007,0.3024227923988669,0.3024227923988669,1.1336434273341145,0.4796050203026947,0.7982015183902101,767.5771367549896
adult,c_placo_basicAI_automation,basic,placo,automation_biased,13567,122103.0,100888.03700358236,7.706051448367362,100.0,0.8651138792658657,0.1743677555779118,0.0870390231829056,0.0870390231829056,0.3823671700442761,0.484167339252085,0.924419547431259,0.8667354610451832,0.1762897637279293,0.0869097709209911,0.0869097709209911,0.3942027856651844,0.4798224374495561,0.920866809169299,666.0670390129089
adult,d_placo_fairAI_unbiased,fair,placo,unbiased,13567,122103.0,102419.84040945988,7.739441291368762,100.0,0.866072086680917,0.159223477133956,0.05080701682898,0.0402524544179523,0.0480959209918312,0.4608824320688727,0.9221345912876756,0.9766344807252894,0.1881155796294738,0.0076798011490974,0.0019566592415367,0.5579724021916925,0.0595103578154425,0.7989680843222484,669.8689179420471
adult,e_placo_fairAI_explicit,fair,placo,explicit_biased,13567,122103.0,102693.46582392932,7.793616864450505,100.0,0.866072086680917,0.159223477133956,0.05080701682898,0.0402524544179523,0.0480959209918312,0.4608824320688727,0.9221345912876756,0.9501732144173362,0.1749698600269119,0.2785936253884443,0.2785936253884443,1.321104952711766,0.4254506322302933,0.8009139824574267,2325.6876780986786
adult,f_placo_fairAI_automation,fair,placo,automation_biased,13567,122103.0,100878.77728657056,7.705756615316577,100.0,0.866072086680917,0.159223477133956,0.05080701682898,0.0402524544179523,0.0480959209918312,0.4608824320688727,0.9221345912876756,0.8678410849856268,0.1608087267788168,0.0512813251293753,0.0381624178423122,0.0449928761247382,0.4560667204735,0.9183902115427052,1401.9140701293943
